Round 1: 结构, None 条建议, 1 条反馈
Round 2: 表达, None 条建议, 1 条反馈
Round 3: 论据, None 条建议, 1 条反馈
Round 4: 表达, None 条建议, 1 条反馈
Round 5: 精炼, None 条建议, 1 条反馈
Round 6: 结构, None 条建议, 1 条反馈
Round 7: 打磨建议, None 条建议, 6 条反馈
Round 8: 打磨建议, None 条建议, 6 条反馈
Round 9: 打磨建议, None 条建议, 5 条反馈
Round 10: 打磨建议, None 条建议, 5 条反馈
Round 11: 打磨建议, None 条建议, 5 条反馈
Round 12: 打磨建议, None 条建议, 5 条反馈
Round 13: 打磨建议, None 条建议, 5 条反馈
Round 14: 打磨建议, None 条建议, 5 条反馈
Round 15: 打磨建议, None 条建议, 5 条反馈
Round 16: 打磨建议, None 条建议, 5 条反馈
Round 17: 打磨建议, None 条建议, 3 条反馈
Round 18: 打磨建议, 3 条建议, 3 条反馈
